temperature,precipitation,wind_speed,delay_hours,risk_score,risk_level
11.9,8.5,40.6,3.5,0.14583333333333334,low
37.8,6.2,33.9,5.7,0.23750000000000002,low
27.9,5.6,44.5,4.1,0.1708333333333333,low
21.9,19.4,22.5,4.3,0.17916666666666667,low
2.0,3.1,44.7,4.7,0.19583333333333333,low
2.0,14.7,43.3,5.1,0.2125,low
-2.4,0.0,21.9,0.0,0.0,low
34.0,11.9,19.1,2.6,0.10833333333333334,low
22.1,18.3,46.6,8.5,0.3541666666666667,medium
26.9,5.8,35.8,1.6,0.06666666666666667,low
-4.1,3.7,46.4,3.6,0.15,low
38.6,13.0,39.8,10.3,0.4291666666666667,medium
32.5,14.3,30.5,7.0,0.2916666666666667,low
4.6,13.8,5.8,4.5,0.1875,low
3.2,6.4,14.6,0.0,0.0,low
3.3,5.0,48.4,3.0,0.125,low
8.7,19.1,16.0,2.5,0.10416666666666667,low
18.6,18.5,4.7,3.5,0.14583333333333334,low
14.4,9.1,35.4,2.9,0.12083333333333333,low
8.1,16.9,36.7,8.6,0.35833333333333334,medium
22.5,9.0,14.3,0.0,0.0,low
1.3,8.5,14.9,0.0,0.0,low
8.1,3.1,23.4,0.0,0.0,low
11.5,8.5,1.1,0.0,0.0,low
15.5,10.7,39.5,6.9,0.28750000000000003,low
30.3,0.5,15.9,0.0,0.0,low
4.0,8.9,42.7,3.4,0.14166666666666666,low
18.1,15.6,40.1,8.6,0.35833333333333334,medium
21.7,13.6,33.1,6.3,0.2625,low
-2.9,12.7,16.2,2.9,0.12083333333333333,low
22.3,18.2,25.8,2.1,0.08750000000000001,low
2.7,0.4,22.2,0.0,0.0,low
-2.1,11.1,16.9,3.3,0.13749999999999998,low
37.7,15.7,42.4,7.8,0.325,medium
38.5,10.8,24.2,6.4,0.26666666666666666,low
31.4,6.5,41.6,3.4,0.14166666666666666,low
8.7,2.7,5.3,0.0,0.0,low
-0.6,17.8,7.1,4.4,0.18333333333333335,low
25.8,9.4,48.9,4.6,0.19166666666666665,low
14.8,17.6,29.4,2.4,0.09999999999999999,low
0.5,11.7,25.5,5.1,0.2125,low
17.3,13.5,26.2,2.4,0.09999999999999999,low
-3.5,16.1,10.8,3.3,0.13749999999999998,low
35.9,13.2,35.9,7.3,0.30416666666666664,medium
6.6,8.0,4.2,0.0,0.0,low
24.8,10.3,28.7,3.7,0.15416666666666667,low
9.0,16.1,28.5,3.7,0.15416666666666667,low
18.4,7.5,45.7,3.8,0.15833333333333333,low
19.6,7.8,26.3,0.0,0.0,low
3.3,1.9,6.9,0.0,0.0,low
38.6,18.3,28.6,7.0,0.2916666666666667,low
29.9,1.8,4.6,0.0,0.0,low
37.3,13.0,10.2,4.7,0.19583333333333333,low
35.3,8.3,1.6,2.7,0.1125,low
21.9,8.1,25.7,0.0,0.0,low
36.5,13.6,4.2,6.0,0.25,low
-1.0,1.3,23.5,0.0,0.0,low
3.8,11.9,46.6,5.5,0.22916666666666666,low
-3.0,15.4,36.0,5.8,0.24166666666666667,low
9.6,16.6,3.9,5.5,0.22916666666666666,low
12.5,3.4,11.2,0.0,0.0,low
7.2,17.9,33.7,8.2,0.3416666666666666,medium
32.3,13.1,44.7,7.8,0.325,medium
11.1,17.6,1.6,5.0,0.20833333333333334,low
7.6,9.7,40.6,2.2,0.09166666666666667,low
19.4,10.8,28.1,4.8,0.19999999999999998,low
1.3,18.4,27.3,5.8,0.24166666666666667,low
31.1,18.0,47.9,6.1,0.25416666666666665,low
-1.6,9.0,37.4,2.4,0.09999999999999999,low
39.4,5.5,42.5,6.4,0.26666666666666666,low
29.8,7.9,17.7,0.0,0.0,low
3.9,7.8,27.7,0.0,0.0,low
