temperature,precipitation,wind_speed,delay_hours,risk_score,risk_level
11.9,8.5,40.6,1.64,0.576,medium
37.8,6.2,33.9,1.38,0.595,medium
27.9,5.6,44.5,1.62,0.625,medium
21.9,19.4,22.5,1.64,0.675,medium
2.0,3.1,44.7,1.5,0.464,medium
2.0,14.7,43.3,2.03,0.672,medium
-2.4,0.0,21.9,0.66,0.194,low
34.0,11.9,19.1,1.17,0.558,medium
22.1,18.3,46.6,2.31,0.858,high
26.9,5.8,35.8,1.36,0.55,medium
-4.1,3.7,46.4,1.58,0.462,medium
38.6,13.0,39.8,1.92,0.779,high
32.5,14.3,30.5,1.63,0.693,medium
4.6,13.8,5.8,0.86,0.351,medium
3.2,6.4,14.6,0.76,0.279,low
3.3,5.0,48.4,1.7,0.536,medium
8.7,19.1,16.0,1.44,0.557,medium
18.6,18.5,4.7,1.07,0.494,medium
14.4,9.1,35.4,1.52,0.555,medium
8.1,16.9,36.7,1.95,0.686,medium
22.5,9.0,14.3,0.88,0.411,medium
1.3,8.5,14.9,0.87,0.312,medium
8.1,3.1,23.4,0.86,0.312,medium
11.5,8.5,1.1,0.46,0.242,low
15.5,10.7,39.5,1.72,0.624,medium
30.3,0.5,15.9,0.5,0.298,low
4.0,8.9,42.7,1.73,0.566,medium
18.1,15.6,40.1,1.98,0.734,high
21.7,13.6,33.1,1.67,0.653,medium
-2.9,12.7,16.2,1.12,0.385,medium
22.3,18.2,25.8,1.68,0.682,medium
2.7,0.4,22.2,0.69,0.226,low
-2.1,11.1,16.9,1.06,0.364,medium
37.7,15.7,42.4,2.11,0.847,high
38.5,10.8,24.2,1.34,0.606,medium
31.4,6.5,41.6,1.57,0.633,medium
8.7,2.7,5.3,0.29,0.154,low
-0.6,17.8,7.1,1.1,0.415,medium
25.8,9.4,48.9,1.94,0.725,high
14.8,17.6,29.4,1.76,0.667,medium
0.5,11.7,25.5,1.35,0.459,medium
17.3,13.5,26.2,1.46,0.574,medium
-3.5,16.1,10.8,1.13,0.401,medium
35.9,13.2,35.9,1.76,0.734,high
6.6,8.0,4.2,0.53,0.237,low
24.8,10.3,28.7,1.38,0.568,medium
9.0,16.1,28.5,1.66,0.606,medium
18.4,7.5,45.7,1.75,0.629,medium
19.6,7.8,26.3,1.18,0.477,medium
3.3,1.9,6.9,0.3,0.128,low
38.6,18.3,28.6,1.85,0.786,high
29.9,1.8,4.6,0.23,0.226,low
37.3,13.0,10.2,1.0,0.522,medium
35.3,8.3,1.6,0.47,0.349,medium
21.9,8.1,25.7,1.18,0.488,medium
36.5,13.6,4.2,0.84,0.479,medium
-1.0,1.3,23.5,0.77,0.238,low
3.8,11.9,46.6,1.99,0.655,medium
-3.0,15.4,36.0,1.85,0.602,medium
9.6,16.6,3.9,0.95,0.411,medium
12.5,3.4,11.2,0.51,0.235,low
7.2,17.9,33.7,1.91,0.676,medium
